Lina Haddad,01/15/2024,24,Ramallah City,Ramallah,F
Omar Khalil,01/15/2024,31,Al-Bireh,Ramallah,M
Maya Nasser,02/03/2024,19,Beitunia,Ramallah,F
Adam Saleh,02/03/2024,42,Ramallah City,Ramallah,M
Sara Mansour,03/10/2024,28,Nablus City,Nablus,F
Yousef Hamdan,03/10/2024,35,Balata,Nablus,M
Noor Awad,03/11/2024,22,Rafidia,Nablus,F
Kareem Darwish,04/06/2024,47,Jenin City,Jenin,M
Rana Zaid,04/06/2024,33,Qabatiya,Jenin,F
Tariq Samir,05/18/2024,54,Hebron City,Hebron,M
Dalia Issa,05/18/2024,26,Halhul,Hebron,F
Sami Odeh,06/01/2024,67,Dura,Hebron,M
