Sami Darwish,11/3/2023,47,Hebron City,Hebron,M
Noor Qasem,11/3/2023,30,Halhul,Hebron,F
Yousef Hamdan,7/8/2023,42,Nablus City,Nablus,M
Rana Awad,7/8/2023,28,Balata,Nablus,F
Adam Barakat,2/12/2024,26,Bethlehem City,Bethlehem,M
Lina Khalil,5/14/2023,24,Ramallah City,Ramallah,F
Omar Nasser,5/14/2023,31,Al-Bireh,Ramallah,M
Maya Saleh,5/14/2023,19,Beitunia,Ramallah,F
Kareem Mansour,9/21/2023,35,Jenin City,Jenin,M
Dana Shalabi,9/21/2023,22,Qabatiya,Jenin,F
Sara Odeh,2/12/2024,33,Beit Jala,Bethlehem,F
Tariq Hammad,4/18/2024,39,Tulkarm City,Tulkarm,M
